,context,question,answer,source_doc,groundedness_score,groundedness_eval,relevance_score,relevance_eval,standalone_score,standalone_eval
27,"66% (33% to 90%) and 98% (95% to 99%). Low quality evidence from 1 study (n=90) that 
used RWC-TVUS reported sensitivity of 97% (90% to 100%) and specificity of 100% (84% to 
100%). Very low quality evidence from 2 studies (n=232, includes TRUS) found that the 
sensitivity and specificity of ultrasound was 18% (2% to 52%) and 97% (85% to 100%) and 
95% (88% to 99%) and 96% (91% to 99%), respectively. 
9.2.6.7 
Rectosigmoid endometriosis 
Very low quality evidence from 14 studies (n=1615, includes TVUS, TVUS-BP, tg-TVUS, 
RWC-TVUS and SVG) found that the pooled sensitivity and specificity of ultrasound was 
89% (80% to 95%) and 96% (93% to 98%), respectively. 1 study (n=202, includes 3D-TVUS) 
reported sensitivity of 91% (82% to 96%) and specificity of 97% (92% to 99%). Evidence was 
of low quality. Very low quality evidence from 4 studies (n=330, includes TRUS) found the 
pooled sensitivity and specificity of 90% (77% to 98%) and 93% (79% to 99%).","What is the pooled sensitivity and specificity of ultrasound for rectosigmoid endometriosis?
",The pooled sensitivity of ultrasound for rectosigmoid endometriosis is 89% (80% to 95%) and the pooled specificity is 96% (93% to 98%).,NICE-2017.pdf,3.0,"The context provides the pooled sensitivity and specificity of ultrasound for rectosigmoid endometriosis. The pooled sensitivity is 90% (77% to 98%) and the specificity is 93% (79% to 99%). The context does not provide enough information to answer the question unambiguously.

",5.0,"This question is useful for gynecologists diagnosing endometriosis, as it provides valuable information about the diagnostic accuracy of ultrasound for rectosigmoid endometriosis, which can aid in their diagnosis.
",,
28,"modulators (SPRMs). 
11.1.3.4.3 
Consideration of economic benefits and harms 
The Committee agreed with the output of the health economic model that hormonal 
treatment was likely to be the most cost-effective first-line treatment for endometriosis. 
Hormonal treatments are so effective that they can be prescribed without any confirmatory 
testing, although the Committee discussed how such testing might be useful anyway for 
reasons unrelated to symptom control (for example, to ensure that the lesions were not 
adhering to the bowel wall). There was some discussion about whether the more expensive 
classes of hormonal treatment (for example, GnRHas) were likely to give better results than 
the simple oral contraceptive, but health economic modelling demonstrates the gain would","Which type of hormonal treatment is likely to be the most cost-effective first-line treatment for endometriosis?
",Hormonal treatment is likely to be the most cost-effective first-line treatment for endometriosis.,NICE-2017.pdf,2.0,"The context does not provide enough information to determine which type of hormonal treatment is likely to be the most cost-effective first-line treatment for endometriosis. 

",5.0,"(your rationale for the rating, as a text)
",1.0,"This question is not independent from context, as it refers to a specific medical condition, and it is not a technical term, but it requires some knowledge to be understood.
"
29,"Bladder
Interstitial cystitis
Urinary tract infection
Urinary tract calculi
Ovarian
Mittelschmerz (ovulation pain)
Ovarian cysts (rupture, torsion, etc.)
Ovarian remnant syndrome
Fallopian tube
Hematosalpinx (after sterilization or endometrial ablation)
Ectopic pregnancy (acute or chronic)
Pelvic inflammatory disease
General
Endometriosis
Myofascial pain
Neuropathic pain
Pelvic congestion
Adhesions","What is the name of the condition that can cause chronic pain in the fallopian tubes?
",Ectopic pregnancy,SOGC-2010.pdf,3.0,"The question is asking for a condition that can cause chronic pain, and the context lists several conditions that can cause chronic pain, but does not explicitly mention tubes, the total rating is 3, as it is not clear whether tubes is one of the conditions that can cause chronic pain.

",,,,
30,"Endometriosis 
Guideline development methodology 
ISBN 978-1-4731-2661-9 
20 
In terms of diagnostic test accuracy reviews (see chapter 8), 1 systematic literature search 
was carried out for all index tests listed in the review protocol. The resulting titles and 
abstracts were then sifted for all index tests generating: 
 included studies for each index test; and 
 a single excluded studies list for all studies that were not included in any of the diagnostic 
reviews. 
4.3 Reviewing research evidence 
4.3.1 
Types of studies and inclusion and exclusion criteria 
For most intervention reviews in this guideline, parallel randomised controlled trials (RCTs) 
were prioritised because they are considered the most robust type of study design that could 
produce an unbiased estimate of the intervention effects.  
For diagnostic reviews, cross-sectional, retrospective or prospective observational studies 
were considered for inclusion. For prognostic reviews, prospective and retrospective cohort 
studies were included. Case-control studies were not considered for inclusion. 
In the qualitative review, studies using focus groups, or structured or semi-structured 
interviews were considered for inclusion. Survey data or other types of questionnaires were 
only included if they provided analysis from open-ended questions, but not if they reported 
descriptive quantitative data only. 
Where data from observational studies were included, the Committee decided that the 
results for each outcome should be presented separately for each study and meta-analysis 
was not conducted. 
The evidence was reviewed following the steps shown schematically in Figure 2: 
 Potentially relevant studies were identified for each review question from the relevant 
search results by reviewing titles and abstracts. Full papers were then obtained 
 Full papers were reviewed against pre-specified inclusion and exclusion criteria to identify","What type of studies were considered for inclusion in the diagnostic reviews?
","Cross-sectional, retrospective or prospective observational studies were considered for inclusion in the diagnostic reviews.",NICE-2017.pdf,2.0,"The question asks about the type of studies that were considered for inclusion in the diagnostic reviews. The context provides information about the types of studies that were included in the diagnostic reviews, as well as the types of studies that were not considered for inclusion. However, the context does not provide a clear and unambiguous answer to the question.

",5.0,"This question is very useful for gynecologists diagnosing endometriosis, as it provides specific information about the type of studies that were considered for inclusion in the diagnostic reviews, and specifies that the studies were randomized controlled trials, which are considered the gold standard for evaluating the effectiveness of medical interventions. This information can help gynecologists to make informed decisions about the best diagnostic tests and treatments for their patients with endometriosis.

",5.0,"This question is asking about the type of studies that were considered for inclusion in a diagnostic review. It is asking about the type of studies, not the context or the review. It is context-independent.
"
31,"both operations only partially interrupt some of the cervical
sensory nerve fibres in the pelvic area; therefore, dysmenorrhoea
associated with additional pelvic pathology may not always benefit
from this type of surgery. For this reason these techniques are
ofen combined with additional treatments such as vaporisation or
excision of endometrial implants.
O B J E C T I V E S
To determine the efectiveness of surgical interruption of pelvic
nerve pathways (by both open and laparoscopic UNA or PSN) when
compared to no treatment (where the control group receives either
no treatment or a recognised treatment which is also performed in
the intervention group) and to explore if the efects vary according
to: (1) primary or secondary dysmenorrhoea and (2) UNA or PSN.
M E T H O D S
Criteria for considering studies for this review
Types of studies
All prospective randomised controlled trials comparing surgical
interruption of pelvic nerve pathways (by both open and
laparoscopic UNA and PSN) to no treatment or other treatment, for
women with primary or secondary dysmenorrhoea.
Types of participants
Inclusion criteria:
•
women of reproductive years;
•
women with primary dysmenorrhoea (no identifiable organic
pathology);
•
women with secondary dysmenorrhoea (identifiable specific
pathology).
Exclusion criteria:
•
women with secondary dysmenorrhoea associated with the use
of intrauterine contraceptive devices.
Types of interventions
Specific interventions that were considered.
•
UNA (laparoscopic or open) versus no treatment (as control) or
other treatment for primary dysmenorrhoea.
•
PSN (laparoscopic or open) versus no treatment (as control) or
other treatment for primary dysmenorrhoea.
•
UNA (laparoscopic or open) versus PSN (laparoscopic or open)
for primary dysmenorrhoea.
•
UNA (laparoscopic or open) versus no treatment (where the
control group was either no treatment or a recognised treatment
which was also performed in the intervention group) or other","What is the inclusion criteria for women with primary dysmenorrhoea?
",The inclusion criteria for women with primary dysmenorrhoea are women of reproductive years and women with primary dysmenorrhoea (no identifiable organic pathology).,cochrane-nerve-2005.pdf,1.0,"The context provides information about several types of studies, interventions, and exclusion criteria, but it does not specify which are the inclusion criteria for women with primary dysmenorrhoea. Therefore, it is not possible to determine the inclusion criteria based on the given context.

",,,,
32,"Endometriosis 
References 
ISBN 978-1-4731-2661-9 
347 
Telimaa et al., 1987a 
Telimaa, S., Puolakka, J., Ronnberg, L., Kauppila, A., Placebo-controlled comparison of 
danazol and high-dose medroxyprogesterone acetate in the treatment of endometriosis, 
Gynecological Endocrinology, 1, 13-23, 1987 
Thomas & Cooke, 1987a 
Thomas, E. J., Cooke, I. D., Successful treatment of asymptomatic endometriosis: does it 
benefit infertile women? British Medical Journal Clinical Research Ed., 294, 1117-9, 1987 
Treloar et al., 2007 
Treloar, S. A., Morley, K. I., Taylor, S. D., Hall, W. D., Why do they do it? A pilot study 
towards understanding participant motivation and experience in a large genetic 
epidemiological study of endometriosis, Community Genetics, 10, 61-71, 2007 
Tuletova et al., 2014 
Tuletova, A., Dochshanova, A., Skakova, R., Cost-effectiveness analysis of the therapy of 
endometriosis, Value in health, 17 (7), A511, 2014 
Turner et al., 2012 
Turner, R. M., Davey, J., Clarke, M. J., Thompson, S. G., Higgins, J. P., Predicting the extent 
of heterogeneity in meta-analysis, using empirical data from the Cochrane Database of 
Systematic Reviews, International journal of epidemiology, 41, 818-27, 2012 
Van Der Valk et al., 2015 
Van Der Valk, M. E., Mangen, M. J., Severs, M., Van Der Have, M., Dijkstra, G., Van 
Bodegraven, A. A., Fidder, H. H., De Jong, D. J., Pierik, M., Van Der Woude, C. J., 
Romberg-Camps, M. J., Clemens, C. H., Jansen, J. M., Van De Meeberg, P. C., Mahmmod, 
N., Van Der Meulen-de Jong, A. E., Ponsioen, C. Y., Bolwerk, C., Vermeijden, J. R., 
Siersema, P. D., Leenders, M., Oldenburg, B., Coin study group, Dutch Initiative on, Crohn, 
Colitis, Comparison of Costs and Quality of Life in Ulcerative Colitis Patients with an Ileal 
Pouch-Anal Anastomosis, Ileostomy and Anti-TNFalpha Therapy, Journal of Crohn's & 
Colitis, 9, 1016-23, 2015 
Van Houwelingen et al., 1993","What is the name of the study that compared danazol and high-dose medroxyprogesterone acetate in the treatment of endometriosis?
","The name of the study is ""Placebo-controlled comparison of danazol and high-dose medroxyprogesterone acetate in the treatment of endometriosis"".",NICE-2017.pdf,,,,,,
33,"of endometrial lesions (17–20). Key components in the 
development of endometriosis are local overproduction 
of prostaglandins by an increase in cyclooxygenase-2 
(COX-2) activity and overproduction of local estrogen 
by increased aromatase activity. Progesterone resistance 
dampens the antiestrogenic effect of progesterone and 
amplifies the local estrogenic effect (19). 
The resulting endometrial lesions can lead to a 
chronic inflammatory disorder with increased numbers 
of activated macrophages and proinflammatory cyto-
kines in the peritoneal fluid that may cause pain and 
infertility. The most commonly found inflammatory 
cytokines are tumor necrosis factor alpha and interleu-
kins 1, 6, and 8 (21). These cytokines are associated with 
pain by several mechanisms, including the induction 
Management of Endometriosis
Endometriosis represents a significant health problem for women of reproductive age. The etiology, the relationship 
between the extent of disease and the degree of symptoms, the effect on fertility, and the most appropriate treatment 
of endometriosis remain incomplete. The purpose of this document is to present the evidence, including risks and ben-
efits, for the effectiveness of medical and surgical therapy for adult women who are symptomatic with pelvic pain or 
infertility or both. Treatment options for adolescents are discussed in other documents (1).
NUMBER 114, JULY 2010 
(Replaces Practice Bulletin Number 11, December 1999)
CLINICAL MANAGEMENT GUIDELINES FOR OBSTETRICIAN–GYNECOLOGISTS
Committee on Practice Bulletins—Gynecology. This Practice Bulletin was developed by the Committee on Practice Bulletins—Gynecology with the 
assistance of Tommaso Falcone, MD, and John R. Lue, MD. The information is designed to aid practitioners in making decisions about appropriate obstetric 
and gynecologic care. These guidelines should not be construed as dictating an exclusive course of treatment or procedure. Variations in practice may be","What is the role of cyclooxygenase-2 (COX-2) in the development of endometriosis?
",Cyclooxygenase-2 (COX-2) plays a role in the development of endometriosis by contributing to local overproduction of prostaglandins.,ACOG-2010.pdf,,,,,,
34,"Endometriosis 
Management strategies 
ISBN 978-1-4731-2661-9 
275 
Table 115: Summary clinical evidence profile: Laparoscopic treatment (excision or 
ablation) versus diagnostic laparoscopy for endometriosis 
Outcomes 
Illustrative comparative risks 
(95% CI) 
Relative 
effect 
(95% CI) 
No of Partici-
pants 
(studies) 
Quality of 
the 
evidence 
(GRADE) 
Assumed risk 
Corresponding 
risk 
 
Diagnostic 
laparoscopy 
Excision/ablatio
n 
 
 
 
Overall pain better 
or improved - At 6 
months 
429 per 
1,000 
399 more per 
1,000 
(from 99 more-
870 more) 
RR 1.93  
(1.23 to 
3.03) 
69 
(1 study) 
 
⊕⊝⊝⊝ 
Very 
low1,2,3 
Overall pain better 
or improved - At 12 
months 
214 per 
1,000 
516 more per 
1,000 
(from 137 more-
1,000 more) 
RR 3.41  
(1.64 to 
7.11) 
69 
(1 study) 
 
⊕⊕⊝⊝ 
Low1,2 
Live birth or 
ongoing pregnancy 
205 per 
1,000 
135 more per 
1,000 
(from 29 more-
291 more) 
RR 1.66  
(1.14 to 
2.42) 
382 
(2 studies) 
 
⊕⊝⊝⊝ 
Very low2,3 
Miscarriage per 
pregnancy 
108 per 
1,000 
5 fewer per 
1,000 
(from 60 fewer-
118 more) 
RR 0.95  
(0.44 
to2.09) 
112 
(2 studies) 
 
⊕⊝⊝⊝ 
Very low5,6 
CI: confidence interval; RR: risk ratio 
Table 116: 
Summary clinical evidence profile: Excision versus diagnostic 
laparoscopy for endometriosis 
Outcomes 
Illustrative comparative risks 
(95% CI) 
Relative 
effect 
(95% CI) 
No of Partici-
pants 
(studies) 
Quality of 
the 
evidence 
(GRADE) 
Assumed risk 
Corresponding 
risk 
 
Diagnostic 
laparoscopy 
Excision/ablatio
n 
 
 
 
Overall pain better 
or improved – At 6 
months 
316 per 
1,000 
483 more per 
1,000 
(from 82 more to 
1,000 more) 
RR 2.53  
(1.26 to 
5.09) 
39 
(1 study) 
 
⊕⊕⊕⊕ 
High1 
Overall pain score - 
At 6 months 
- 
The mean 
overall pain 
score - at 6 
months in the 
intervention 
groups was 
0.9 higher 
(0.31 to 1.49 
higher) 
MD 0.90 
(0.31 to 
1.49) 
16 
(1 study) 
 
⊕⊝⊝⊝ 
Very low2,3 
Overall pain score - 
At 12 months 
- 
The mean 
overall pain 
score - at 12 
months in the","What is the relative effect of excision versus diagnostic laparoscopy for endometriosis in improving overall pain at 6 months?
",The relative effect of excision versus diagnostic laparoscopy for endometriosis in improving overall pain at 6 months is 2.53 (95% CI: 1.26 to 5.09).,NICE-2017.pdf,,,,,,
35,"available for endometriosis. Pain management programmes promote self-management and 
are often provided in the community.  
If found to be effective for endometriosis, pain management programmes would provide an 
additional or alternative treatment option for women experiencing endometriosis-related pain. 
Groups of particular interest are women for whom hormonal and surgical options have been 
exhausted, women who would prefer an alternative to a pharmacological or surgical 
approach, and women who may be prioritising trying to conceive.  
Table 106: Research recommendation rationale 
Research 
question  
Are Pain Management Programmes (PMPs) a clinically and cost-
effective intervention for women with endometriosis?  
Importance to 
‘patients’ or the 
population 
Minimising distress and disability associated with chronic pelvic pain is of 
prime importance for women with endometriosis to maximise their overall 
quality of life and emotional wellbeing. 
PMPs are well established as interventions for people with chronic pain 
conditions, to minimise the physical disability and psychological distress 
associated with chronic pain by developing effective self-management 
techniques. PMPs may also reduce longer term healthcare costs. However, 
few services and programmes exist to support the specific needs of women 
with endometriosis. While there is some published research evaluating the","Are pain management programmes (PMPs) a well-established intervention for people with chronic pain conditions?
","Yes, PMPs are well-established interventions for people with chronic pain conditions.",NICE-2017.pdf,3.0,"The context provides a table that summarises research recommendations for pain management programmes for women with endometriosis. The table includes the results of various studies evaluating the clinical and cost-effectiveness of different pain management programmes for women with endometriosis. The table also includes a summary of the research importance of minimising distress and disability associated with chronic pelvic pain is of prime importance for the quality of life and emotional wellbeing of women with endometriosis. The context states that few services and programmes exist to support the specific needs of women with endometriosis. While there is some published research evaluating the clinical and cost-effectiveness of different pain management programmes for women with endometriosis, but it does not provide a clear and unambiguous answer to the question.

",5.0,"This question is useful for gynecologists diagnosing endometriosis, planning a endometriosis, or treating a patient with endometriosis. It provides a comprehensive overview of the different pain management programmes available for people with chronic pain conditions, which can help gynecologists make informed decisions about which intervention would be most appropriate for a particular patient.

",5.0,"The question refers to a specific type of intervention, namely pain management programmes (PMPs). This is a technical noun, but it is not obscure, and the question is not asking for a specific PMP, but rather if they are a well-established intervention).
"
36,"In certain situations, cystectomy for endometrioma can lead to partial
or total oophorectomy due to intraoperative difﬁculties. In the absence
of cleavage planes, it is best to abandon cystectomy if the patient
wishes to preserve the ovary (Expert Consensus).
Isolated ovarian endometrioma is very rare (LoE3). The risk of
recurrence is increased after incomplete surgery (LoE3). Evaluation for
and treatment of other pelvic locations of endometriosis are
recommended when an endometrioma is discovered or during its
surgical management (Grade C). Neither expectant management nor
ultrasound-guided cyst aspiration is recommended as ﬁrst-line
management for women with pain (Grade C) due to the risk of
persistence or rapid recurrence of pain and endometriomas (LoE3).
Ethanol sclerotherapy is associated with a lower cyst recurrence rate
than aspiration alone (LoE3) and can therefore be offered to patients
with recurrent endometriomas (Expert Consensus). Ablation of
endometriomas with bipolar coagulation is not recommended (Grade
B) due to lower postoperative pregnancy rates and higher rates of
recurrence of endometrioma (LoE1).
Laser or plasma energy ablation cannot be recommended over
cystectomy due to the lack of high-quality evidence from
comparative studies [16].
Deep endometriosis with inﬁltration of the bladder
The surgical management of endometriotic lesions of the
bladder by partial cystectomy has long-term efﬁcacy against pain
symptoms and the risk of recurrence, and has a low rate of severe
complications (LoE3). No studies have speciﬁcally compared the
efﬁcacy of pharmacotherapy versus or in combination with
bladder surgery [18].
Surgical treatment of bladder endometriosis by partial cystectomy
can be offered to symptomatic patients (Grade C). Resection of an
endometriotic nodule of the bladder by the transurethral route alone is
not recommended (Grade C), because only the intravesical portion of
the lesion is treated, leaving any adjacent inﬁltration of the","What is the recommended first-line management for women with pain due to endometriomas?
",Neither expectant management nor ultrasound-guided cyst aspiration is recommended as ﬁrst-line management for women with pain due to endometriomas.,CNGOF-2018.pdf,2.0,"The context provides a recommendation for the surgical management of endometriomas in women with pain. The context states that cystectomy for endometrioma can lead to partial or total oophorectomy due to intraoperative difficulties. The context also states that in the absence of cleavage planes, it is best to abandon cystectomy if the patient wishes to preserve the ovary. The context also states that isolated ovarian endometrioma is very rare. The context also states that the risk of recurrence is increased after incomplete surgery. The context also states that ethanol sclerotherapy is associated with a lower cyst recurrence rate than aspiration alone and can therefore be offered to patients with recurrent endometriomas. The context also states that ablation of endometriomas with bipolar coagulation is not recommended. The context also states that surgical treatment of bladder endometriosis by partial cystectomy can be offered to symptomatic patients. The context also states that resection of an endometriotic nodule of the bladder by the transurethral route alone is not recommended. The context does not provide a clear recommendation for the first-line management for women with pain due to endometriomas. Therefore, I would rate this a 2, as the context provides some information but not a clear answer to the question.

",5.0,"This question is useful for gynecologists diagnosing endometriosis, planning a endometriosis treatment or treating a patient with endometriosis. It is important to know the recommended first-line management for women with pain due to endometriomas.
",1.0,"The question refers to a particular medical condition, endometriomas, and a particular type of pain, and a particular medical management, first-line management. The question is not independent from the context.
"
37,"Endometriosis 
Management strategies 
ISBN 978-1-4731-2661-9 
236 
Committee agreed with the evidence and further highlighted that the benefit from hormonal 
treatments was due to their efficacy in stopping or reducing periods. There was a desire from 
the Committee to reduce the number of repeated operations for women with endometriosis, 
further supporting maintenance of pain relief using hormonal treatments wherever possible.  
Although they chose not to be specific about recommending a particular hormonal treatment 
in the recommendations, they stated that the first-line hormonal treatment would generally be 
the oral combined contraceptive pill or progestogens as they have good efficacy and typically 
have side effects that women may find more tolerable. The evidence showed that cyclic use 
of the combined oral contraceptive pill is effective, but the Committee were also aware that 
continuous and tricycling (where three packets are taken in a row, followed by a pill free 
interval) use of the pill are used in clinical practice, and although evidence was not available 
on these regimens in the literature, the Committee have found in their experience that these 
were also effective with limited adverse events. 
The Committee recommended that if first-line hormonal treatment was contraindicated or not 
tolerated, then women should be referred to a gynaecologist for possible further treatment 
which could include other hormonal treatments (for example, with a GnRH-a) or surgery. The 
Committee discussed the results of clinical effectiveness of other hormonal treatments such 
as GnRH-as and danazol. Even though highly effective, use of GnRH-as requires guidance 
from a specialist as the NMA showed that they had higher risk of withdrawal due to adverse 
events and the Committee identified them as having more serious adverse events (e.g. bone 
density changes). The Committee noted that GnRH-as are only licensed for a 6 month period","What is the first-line hormonal treatment for endometriosis?
",The first-line hormonal treatment for endometriosis is generally the oral combined contraceptive pill or progestogens.,NICE-2017.pdf,5.0,"The context provides a clear answer to the question. The first-line hormonal treatment for endometriosis is generally the oral combined contraceptive pill or progestogens. If first-line hormonal treatment is contraindicated or not tolerated, then women should be referred to a gynaecologist for possible further treatment which could include other hormonal treatments (for example, with a GnRH-a) or surgery. The context also mentions that even though GnRH-as are highly effective, their use requires guidance from a specialist as the NMA showed that they had higher risk of withdrawal due to adverse events and the Committee identified them as having more serious adverse events (e.g. bone density changes). The context also mentions that GnRH-as are only licensed for a 6 month period.

",5.0,"This question is useful for gynecologists diagnosing endometriosis, planning a endometriosis treatment or treating a patient with endometriosis. It is important to know the first-line hormonal treatment for endometriosis to provide appropriate care for patients.
",5.0,"This question is independent from any context, as it refers to a medical condition and a medical treatment, both of which are well-known concepts.
"
38,"atrophy of the endometrial tissue is the proposed mechanism
of action (60). Whereas combined OCs containing the more
androgenic progestogens (19-nortestosterone derivatives)
traditionally have been used to treat endometriosis symp-
toms, combined OCs containing the new generation progesto-
gen, desogestrel, also have proven effective (61). A low-dose
combined OC administered in a cyclic regimen to women with
endometriosis was found as effective as GnRH-a treatment for
relief of dyspareunia and nonmenstrual pain as assessed by a
pain scoring system (62). However, GnRH-a treatment was
more effective than combined OCs for the relief of dysmenor-
rhea because the agonist reliably induces amenorrhea (62). A
prospective observational trial demonstrated that continuous
low-dose combined OCs were more effective than cyclic com-
bined OCs in controlling endometriosis symptoms in patients
after surgical treatment for endometriosis (63).
Progestogens
Progestogens most commonly used for the treatment of endo-
metriosis include medroxyprogesterone acetate (MPA) and
19-nortestosterone derivatives (e.g., levonorgestrel, norethin-
drone acetate, and dienogest). As with OCs, their proposed
mechanism of action involves decidualization and subse-
quent atrophy of endometrial tissue. Another more recently
proposed mechanism involves progestogen-induced suppres-
sion of matrix metalloproteinases, a class of enzymes impor-
tant in the growth and implantation of ectopic endometrium
(60). Inhibition of angiogenesis has also been proposed as a
mechanism to explain the effectiveness of progestins in the
treatment of endometriosis (64). In observational studies
involving treatment with MPA, dydrogesterone, or norethin-
drone acetate, pain has been reduced by 70%–100% (65). A
meta-analysis
of
four
randomized,
controlled
trials
comparing MPA to danazol alone, danazol and combined
OCs, or a GnRH-a (goserelin acetate) concluded that MPA","What is the proposed mechanism of action of progestogens in treating endometriosis?
","The proposed mechanism of action of progestogens in treating endometriosis is decidualization and subsequent atrophy of endometrial tissue. Additionally, progestogen-induced suppression of matrix metalloproteinases and inhibition of angiogenesis have also been proposed as mechanisms.",ASRM-2014.pdf,5.0,"The context provides a clear and unambiguous answer to the question of how progestogens are proposed to treat endometriosis. The mechanisms of action are described in detail, and the context also provides evidence of the effectiveness of progestogens in treating endometriosis from observational studies and a meta-analysis of randomized, controlled trials. Therefore, I would rate the total rating as 5 out of 5.

",5.0,"This question is useful for gynecologists diagnosing endometriosis, planning a endometriosis treatment or treating a patient with endometriosis. Progestogens are a common treatment option for endometriosis, and understanding their proposed mechanism of action can help gynecologists make informed decisions about treatment.
",5.0,"This question is about the proposed mechanism of action of progestogens in treating endometriosis. It is a medical question, but it is not context-dependent.

"
39,"USL DIE based on clinical 
symptoms, abnormal 
gynaecological 
examination or 
transvaginal ultrasound 
findings 
N=42 
DIE site: uterosacral 
ligament 
Sensitivity and specificity 
Okada 1995 
(Nisenblat 
2016 CSR) 
Japan 
 T1-w fat-supressed 
 Laparoscopy or 
laparotomy and 
histology 
Women visiting outpatient 
department with 
suspected endometriosis 
based on clinical 
presentation (symptoms 
and pelvic examination), 
transvaginal 
ultrasonography and/or 
blood test for Ca-125 
N=74 
Pelvic endometriosis 
Sensitivity and specificity","What is the sensitivity and specificity of DIE site in uterosacral ligament according to Okada 1995 in Japan?
",The sensitivity and specificity of DIE site in uterosacral ligament according to Okada 1995 in Japan is not provided in the context.,NICE-2017.pdf,,,,,,
40,"230    Practice Bulletin    Management of Endometriosis 
    
OBSTETRICS & GYNECOLOGY
Similar results were seen in a more recent study of 
120 patients who underwent excision of the endome-
triosis and hysterectomy with or without oophorectomy 
(99). These patients were monitored for a median dura-
tion of 7.6–11 years. Most patients did not require reop-
eration, even with conservation of the ovaries. Therefore, 
in patients with normal ovaries, a hysterectomy with ovar-
ian conservation and removal of the endometriotic lesions 
should be considered. 
 Can patients have recurrent symptoms after 
hysterectomy and oophorectomy?
Symptoms may recur in women even after hysterec-
tomy and oophorectomy. Endometriosis may recur in 
up to 15% of women whether or not the patients are 
treated with estrogen therapy after bilateral oopho-
rectomy (124). Consequently, hormone therapy with 
estrogen is not contraindicated after definitive surgery 
for endometriosis. Although the true rate of recurrence
is unknown, in patients with recurrent symptoms under-
going a surgical procedure, endometriotic lesions may 
be demonstrated. The most common site of recurrent
lesions is the large and small bowel (125). These 
lesions were likely present at the time of surgery and 
not excised. These lesions can be considered persistent 
disease rather than recurrent disease. Persistence of dis-
ease in hypoestrogenic states is most likely due to local 
expression of aromatase activity. Treatment is difficult 
and often requires surgery. The use of a GnRH agonist 
in this situation of hypoestrogenemia would not seem to 
be of benefit. Aromatase inhibitors may be considered 
but are not uniformly effective (126).
 What is the role of hormone therapy after 
definitive surgery for endometriosis-associated 
pain?
Currently, there are limited data on the timing of estro-
gen therapy after hysterectomy with bilateral salpingo-
oophorectomy for endometriosis. It appears there is no","Can endometriosis recur after hysterectomy and oophorectomy?
","Yes, endometriosis may recur in up to 15% of women whether or not the patients are treated with estrogen therapy after bilateral oophorectomy.",ACOG-2010.pdf,2.0,"The context does not provide a clear answer to the question. It mentions that symptoms may recur in women after hysterectomy and oophorectomy, but it does not specify whether endometriosis itself can recur. It also mentions that endometriosis may persist in hypoestrogenic states, but it does not specify whether hormone therapy is beneficial in this situation. Therefore, I would rate the total rating as a 2, which means that the context provides only partial answer to the question.

",5.0,"This question is useful for gynecologists diagnosing endometriosis, planning a endometriosis treatment or treating a patient with endometriosis. The question addresses a common concern of patients with endometriosis, which is the possibility of recurrence after surgical treatment. The answer to this question can help gynecologists to manage patient expectations, and to plan appropriate follow-up care.
",5.0,"This question is about endometriosis, a medical condition, and two medical procedures, hysterectomy and oophorectomy. It is not context-dependent.

"
41,"366-373 
Novielli et al., 2010 
Novielli, N., Cooper, N. J., Abrams, K. R., Sutton, A. J., How is evidence on test performance 
synthesized for economic decision models of diagnostic tests? A systematic appraisal of 
Health Technology Assessments in the UK since 1997, Value in health, 13, 952-7, 2010 
Office of National Statistics (ONS), 2016 
Office of National Statistics (ONS), Office of National Statistics (ONS), Families and 
households in the UK: 2016, 2016 
https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/families/b
ulletins/familiesandhouseholds/2016 
Oppelt et al., 2012 
Oppelt, P., Chavtal, R., Haas, D., Reichert, B., Wagner, S., Muller, A., Lermann, J. H., 
Renner, S. P., Costs of in-patient treatment for endometriosis in Germany 2006: An analysis 
based on the G-DRG-Coding, Gynecological Endocrinology, 28, 903-905, 2012","What is the URL for the 2016 Office of National Statistics (ONS) report on families and households in the UK?
",https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/families/bulletins/familiesandhouseholds/2016,NICE-2017.pdf,4.0,"The context provides the title of the report and the organization that published it. With this information, one can search for the report on the Office of National Statistics (ONS) website. However, it does not provide a direct URL for the report. Therefore, the total rating is 4, as the question is answerable with some extra effort.

",3.0,"This question is useful for Gynecologists diagnosing endometriosis, planning a endometriosis treatment or treating a patient with endometriosis because it provides a source of information about the demographics of families and households in the UK. This information can be useful for understanding the social and economic context in which patients with endometriosis live, which can inform treatment decisions and improve patient outcomes.
",1.0,"The question refers to a particular report, so it is not independent from the context.

"
